,alpha,b,gamma,epsilon,delta
0,10,1,0.049999999999999996,30,0.001
1,10,1,0.049999999999999996,10,0.002
2,10,1,0.049999999999999996,10,0.001
3,10,1,0.03,50,0.004
4,10,1,0.03,50,0.003
5,10,1,0.03,40,0.003
6,10,1,0.03,50,0.001
7,10,1,0.03,40,0.004
8,10,1,0.03,40,0.002
9,10,1,0.03,40,0.001
10,10,1,0.03,50,0.002
11,10,1,0.03,30,0.004
12,10,1,0.03,30,0.003
13,10,1,0.03,30,0.002
14,10,1,0.03,30,0.001
15,10,1,0.03,20,0.003
16,10,1,0.03,20,0.001
17,10,1,0.03,10,0.004
18,10,1,0.03,10,0.003
19,10,1,0.03,20,0.002
20,10,1,0.03,20,0.004
21,10,1,0.03,10,0.001
22,10,1,0.03,10,0.002
23,10,1,0.06999999999999999,50,0.004
24,10,1,0.06999999999999999,50,0.003
25,10,1,0.06999999999999999,50,0.002
26,10,1,0.06999999999999999,40,0.002
27,10,1,0.06999999999999999,40,0.004
28,10,1,0.06999999999999999,40,0.003
29,10,1,0.06999999999999999,40,0.001
30,10,1,0.06999999999999999,50,0.001
31,10,1,0.06999999999999999,30,0.004
32,10,1,0.06999999999999999,30,0.003
33,10,1,0.06999999999999999,30,0.002
34,10,1,0.06999999999999999,30,0.001
35,10,1,0.06999999999999999,20,0.001
36,10,1,0.06999999999999999,10,0.003
37,10,1,0.06999999999999999,10,0.004
38,10,1,0.06999999999999999,20,0.003
39,10,1,0.06999999999999999,20,0.002
40,10,1,0.06999999999999999,20,0.004
41,10,1,0.06999999999999999,10,0.002
42,10,1,0.06999999999999999,10,0.001
43,10,1,0.049999999999999996,50,0.004
44,10,1,0.049999999999999996,50,0.003
45,10,1,0.049999999999999996,40,0.001
46,10,1,0.049999999999999996,40,0.004
47,10,1,0.049999999999999996,50,0.001
48,10,1,0.049999999999999996,40,0.002
49,10,1,0.049999999999999996,40,0.003
50,10,1,0.049999999999999996,50,0.002
51,10,1,0.049999999999999996,30,0.004
52,10,1,0.049999999999999996,30,0.003
53,10,1,0.049999999999999996,30,0.002
54,10,1,0.049999999999999996,20,0.004
55,10,1,0.049999999999999996,20,0.003
56,10,1,0.049999999999999996,10,0.003
57,10,1,0.049999999999999996,20,0.001
58,10,1,0.049999999999999996,10,0.004
59,10,1,0.049999999999999996,20,0.002
60,10,2,0.03,30,0.003
61,10,2,0.03,30,0.002
62,10,2,0.03,30,0.001
63,10,2,0.03,10,0.004
64,10,2,0.03,20,0.002
65,10,2,0.03,20,0.003
66,10,2,0.03,20,0.001
67,10,2,0.03,20,0.004
68,10,2,0.03,10,0.003
69,10,2,0.03,10,0.002
70,10,2,0.03,10,0.001
71,10,1,0.08999999999999998,50,0.004
72,10,1,0.08999999999999998,50,0.003
73,10,1,0.08999999999999998,40,0.003
74,10,1,0.08999999999999998,40,0.001
75,10,1,0.08999999999999998,40,0.004
76,10,1,0.08999999999999998,40,0.002
77,10,1,0.08999999999999998,50,0.002
78,10,1,0.08999999999999998,50,0.001
79,10,1,0.08999999999999998,30,0.004
80,10,1,0.08999999999999998,30,0.003
81,10,1,0.08999999999999998,30,0.002
82,10,1,0.08999999999999998,20,0.003
83,10,1,0.08999999999999998,10,0.003
84,10,1,0.08999999999999998,10,0.004
85,10,1,0.08999999999999998,20,0.001
86,10,1,0.08999999999999998,20,0.004
87,10,1,0.08999999999999998,20,0.002
88,10,1,0.08999999999999998,30,0.001
89,10,1,0.08999999999999998,10,0.001
90,10,2,0.049999999999999996,50,0.004
91,10,2,0.049999999999999996,50,0.002
92,10,2,0.049999999999999996,50,0.003
